code_type,code,fema_id,lifeline_component,lifeline_subcomponent,lifeline_category,tier,boost,naics_sector,bls_title
naics,221111,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Hydroelectric Power Generation
naics,221112,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Fossil Fuel Electric Power Generation
naics,221113,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Nuclear Electric Power Generation
naics,221114,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Solar Electric Power Generation
naics,221115,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Wind Electric Power Generation
naics,221116,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Geothermal Electric Power Generation
naics,221117,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Biomass Electric Power Generation
naics,221118,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Other Electric Power Generation
naics,221119,019dab83-9fc6-7505-a0f1-977bd1b5531a,Energy,Power Grid,Electric Power Generation,1,0.25,22,Other Electric Power Generation
naics,221121,019dab83-9fc6-738e-bd1c-343f7109bd61,Energy,Power Grid,Electric Power Transmission,1,0.25,22,Electric Bulk Power Transmission and Control
naics,221122,019dab83-9fc6-7ccd-b463-7ff8de4f8991,Energy,Power Grid,Electric Power Distribution,1,0.25,22,Electric Power Distribution
naics,221210,019dab83-9fc6-76dc-a6ee-6b165a228bab,Energy,Power Grid,Natural Gas Distribution,1,0.25,22,Natural Gas Distribution
naics,486210,019dab83-9fc6-7513-9544-94b9deddb7c8,Energy,Fuel,Pipelines (Natural Gas),1,0.25,48,Pipeline Transportation of Natural Gas
naics,486110,019dab83-9fc6-7ad6-8994-6a6dd068e851,Energy,Fuel,Pipelines (Crude Oil),1,0.25,48,Pipeline Transportation of Crude Oil
naics,486910,019dab83-9fc6-7bff-a0cd-99e17eb89f10,Energy,Fuel,Pipelines (Petroleum),2,0.15,48,Other Pipeline Transportation
naics,221320,019dab83-9fc6-7d06-a032-0e5d620955b1,Water Systems,Wastewater Management,Wastewater Systems,1,0.25,22,Sewage Treatment Facilities
naics,324110,019dab83-9fc6-7537-a91a-d01fc230dc8e,Energy,Fuel,Petroleum Refineries,1,0.25,31,Petroleum Refineries
naics,493120,019dab83-9fc6-778c-8a6e-8f16938837eb,Energy,Fuel,Fuel Storage and Terminals,2,0.15,48,Refrigerated Warehousing and Storage
naics,562212,019dab83-9fc6-7049-979b-090483b917a9,Hazardous Materials,Faculties,Solid Waste Landfill,2,0.15,56,Solid Waste Landfill
naics,562910,019dab83-9fc6-77ea-a815-10ff25be793f,Hazardous Materials,Faculties,Waste Treatment and Disposal,3,0.05,56,Remediation Services
naics,562998,019dab83-9fc6-77ea-a815-10ff25be793f,Hazardous Materials,Faculties,Waste Treatment and Disposal,3,0.05,56,All Other Miscellaneous Waste Management Services
naics,211111,019dab83-9fc6-7c8f-8178-47325f6e4ceb,Energy,Fuel,Oil and Gas Extraction,2,0.15,21,Crude Petroleum and Natural Gas Extraction
naics,211112,019dab83-9fc6-7c8f-8178-47325f6e4ceb,Energy,Fuel,Oil and Gas Extraction,2,0.15,21,Natural Gas Liquid Extraction
naics,211120,019dab83-9fc6-7c8f-8178-47325f6e4ceb,Energy,Fuel,Oil and Gas Extraction,2,0.15,21,Crude Petroleum Extraction
naics,211130,019dab83-9fc6-7c8f-8178-47325f6e4ceb,Energy,Fuel,Oil and Gas Extraction,2,0.15,21,Natural Gas Extraction
naics,213112,019dab83-9fc6-7c8f-8178-47325f6e4ceb,Energy,Fuel,Oil and Gas Extraction,3,0.05,21,Support Activities for Oil and Gas Operations
naics,424710,019dab83-9fc6-778c-8a6e-8f16938837eb,Energy,Fuel,Fuel Storage and Terminals,1,0.25,42,Petroleum Bulk Stations and Terminals
naics,424720,019dab83-9fc6-778c-8a6e-8f16938837eb,Energy,Fuel,Fuel Storage and Terminals,2,0.15,42,Petroleum and Petroleum Products Merchant Wholesalers
naics,221310,019dab83-9fc6-719b-80b9-56c4fc609490,Water Systems,Potable Water Infastrucutre,Potable Water Infastructure,1,0.25,22,Water Supply and Irrigation Systems
naics,622110,019dab83-9fc6-7140-890f-8e81f3409bea,Health and Medical,Medical Care,Hospitals,1,0.25,62,General Medical and Surgical Hospitals
naics,622210,019dab83-9fc6-7e50-bb48-c795e20f5af7,Health and Medical,Medical Care,Specialty Hospitals,2,0.15,62,Psychiatric and Substance Abuse Hospitals
naics,622310,019dab83-9fc6-7e50-bb48-c795e20f5af7,Health and Medical,Medical Care,Specialty Hospitals,2,0.15,62,Specialty Hospitals
naics,621111,019dab83-9fc6-79b0-b979-ff2f037206f7,Health and Medical,Public Health,Outpatient Care Center,2,0.15,62,Offices of Physicians (except Mental Health)
naics,446110,019dab83-9fc6-73d2-967c-1a5ec3c2f82f,Health and Medical,Medical Care,Pharmacies,2,0.15,44,Pharmacies and Drug Stores
naics,325412,019dab83-9fc6-7be5-8cde-c8bc72bb3b91,Health and Medical,Medical Supply Chain,Pharmaceutical Manufacturing,3,0.05,31,Pharmaceutical Preparation Manufacturing
naics,621493,019dab83-9fc6-7a4c-b2a7-f2843b5e872c,Health and Medical,Medical Care,Emergency Medical Services,1,0.25,62,Freestanding Ambulatory Surgical and Emergency Centers
naics,621999,019dab83-9fc6-7a6b-a432-3a43e680ea56,Health and Medical,Medical Care,Urgent Care,2,0.15,62,All Other Miscellaneous Ambulatory Health Care Services
naics,621910,019dab83-9fc6-7a4c-b2a7-f2843b5e872c,Health and Medical,Medical Care,Emergency Medical Services,2,0.15,62,Ambulance Services
naics,928110,019dab83-9fc6-7b13-b675-42a19b3d6588,Safety and Security,Law Enforcement/Security,Police Stations,1,0.25,92,National Security
naics,922120,019dab83-9fc6-7b13-b675-42a19b3d6588,Safety and Security,Law Enforcement/Security,Police Stations,1,0.25,92,Police Protection
naics,922160,019dab83-9fc6-78ff-addd-804a4bef957b,Safety and Security,Fire Service,Fire Stations,1,0.25,92,Fire Protection
