key,lifeline,lifeline_key,lifeline_component,lifeline_component_key,lifeline_subcomponent
police_stations,Safety and Security,safety_and_security,Law Enforcement/Security,law_enforcement_security,Police Stations
law_enforcement,Safety and Security,safety_and_security,Law Enforcement/Security,law_enforcement_security,Law Enforcement/Security Operations
site_security,Safety and Security,safety_and_security,Law Enforcement/Security,law_enforcement_security,Site Security
correctional_facilities,Safety and Security,safety_and_security,Law Enforcement/Security,law_enforcement_security,Correctional Facilities
fire_stations,Safety and Security,safety_and_security,Fire Service,fire_service,Fire Stations
firefighting_resources,Safety and Security,safety_and_security,Fire Service,fire_service,Firefighting Resources
search_and_rescue,Safety and Security,safety_and_security,Fire Service,fire_service,Search and Rescue
local_search_and_rescue,Safety and Security,safety_and_security,Fire Service,fire_service,Local Search and Rescue
emergency_operation_centers,Safety and Security,safety_and_security,Government Service,government_service,Emergency Operation Centers
essential_government_functions,Safety and Security,safety_and_security,Government Service,government_service,Essential Government Functions
government_offices,Safety and Security,safety_and_security,Government Service,government_service,Government Offices
government_schools,Safety and Security,safety_and_security,Government Service,government_service,Government Schools
public_records,Safety and Security,safety_and_security,Government Service,government_service,Public Records
historic_cultural_resources,Safety and Security,safety_and_security,Government Service,government_service,Historic/Cultural Resources
flood_control,Safety and Security,safety_and_security,Community Safety,community_safety,Flood Control
community_other_hazards,Safety and Security,safety_and_security,Community Safety,community_safety,Other Community Hazards
food_commercial_distribution,"Food, Hydration, Shelter",food_hydration_shelter,Food,food,Commercial Food Distribution
food_supply_chain,"Food, Hydration, Shelter",food_hydration_shelter,Food,food,Food Supply Chain
food_distribution_programs,"Food, Hydration, Shelter",food_hydration_shelter,Food,food,Food Distribution Programs
hydration_temporary_missions,"Food, Hydration, Shelter",food_hydration_shelter,Hydration,hydration,Temporary Hydration Missions
commercial_water_supply_chain,"Food, Hydration, Shelter",food_hydration_shelter,Hydration,hydration,Commercial Water Supply Chain
shelter_housing,"Food, Hydration, Shelter",food_hydration_shelter,Shelter,shelter,Housing/Emergency Shelter
shelter_commercial_facilities,"Food, Hydration, Shelter",food_hydration_shelter,Shelter,shelter,Commercial Shelter Facilities
